Nr_klatki	X	Y	dX	dY
0	629	240	0	0
1	610	248	-19	8
2	610	248	-19	8
3	602	242	-27	2
4	598	242	-31	2
5	598	242	-31	2
6	571	242	-58	2
7	563	245	-66	5
8	563	245	-66	5
9	552	240	-77	0
10	548	241	-81	1
11	548	241	-81	1
12	525	246	-104	6
13	518	245	-111	5
14	518	245	-111	5
15	500	242	-129	2
16	481	237	-148	-3
17	481	237	-148	-3
18	457	236	-172	-4
19	450	235	-179	-5
20	450	235	-179	-5
21	434	238	-195	-2
22	429	239	-200	-1
23	429	239	-200	-1
24	413	239	-216	-1
25	404	243	-225	3
26	404	243	-225	3
27	386	244	-243	4
28	381	242	-248	2
29	381	242	-248	2
30	365	238	-264	-2
31	353	231	-276	-9
32	353	231	-276	-9
33	342	220	-287	-20
34	335	219	-294	-21
35	335	219	-294	-21
36	316	223	-313	-17
37	305	225	-324	-15
38	305	225	-324	-15
39	297	237	-332	-3
40	291	244	-338	4
41	291	244	-338	4
42	269	244	-360	4
43	264	243	-365	3
44	264	243	-365	3
45	251	241	-378	1
46	238	239	-391	-1
47	238	239	-391	-1
48	219	235	-410	-5
49	212	232	-417	-8
50	212	232	-417	-8
51	193	239	-436	-1
52	184	239	-445	-1
53	184	239	-445	-1
54	166	235	-463	-5
55	161	234	-468	-6
56	161	234	-468	-6
57	143	235	-486	-5
58	135	239	-494	-1
59	135	239	-494	-1
60	120	243	-509	3
61	102	248	-527	8
62	102	248	-527	8
63	93	255	-536	15
64	84	255	-545	15
65	84	255	-545	15
66	55	252	-574	12
67	50	252	-579	12
68	50	252	-579	12
69	35	254	-594	14
70	28	252	-601	12
71	28	252	-601	12
